game;CARPU;revenue;Downloads;RPD;LTV-West;LTV-East;sell_ad;in_app_purchases;metacritic;asian_share;sports;strategy;action;rpg;casino;casual;CPI;profit;ROI;retention;est_DAU;;;
House of Fun™ - Casino Slots;19.04;5000000;200000;25;29.35;0;1;1;0;0;0;0;0;0;1;0;7.28;11.76;1.615384615;0.05;10000;;;
Huuuge Casino Slots Vegas 777;13.37;10000000;200000;50;19.47;0;1;1;0;0;0;0;0;0;1;0;7.28;6.09;0.836538462;0.05;10000;;;
Identity V;6.17;10000000;500000;20;10.39;7.82;0;1;0;0.81;0;0;1;0;0;0;2.53;3.64;1.438735178;0.049;24500;;;
Infinite Lagrange;12.19;2000000;100000;20;6.87;22.01;0;1;0;0.93;0;0;0;1;0;0;4.4;7.79;1.770454545;0.049;4900;;;
Jackpot Magic Slots™ & Casino;17.78;5000000;20000;250;20.11;0;1;1;0;0;0;0;0;0;1;0;7.28;10.5;1.442307692;0.05;1000;;;
Jackpot Party Casino Slots;29.67;10000000;200000;50;40.71;0;1;1;0;0;0;0;0;0;1;0;7.28;22.39;3.075549451;0.05;10000;;;
Jackpot Party Casino Slots;29.67;10000000;200000;50;40.71;0;1;1;0;0;0;0;0;0;1;0;7.28;22.39;3.075549451;0.05;10000;;;
Jackpot World™ - Slots Casino;11.78;10000000;500000;20;20.44;0;1;1;0;0;0;0;0;0;1;0;7.28;4.5;0.618131868;0.05;25000;;;
JJ???;6.87;10000000;200000;50;0;6.87;1;1;0;1;0;0;0;0;0;1;3.28;3.59;1.094512195;0.052;10400;;;
June's Journey: Hidden Objects;6.31;10000000;500000;20;13.35;7.8;1;1;0;0.05;0;0;0;0;0;1;3.28;3.03;0.923780488;0.052;26000;;;
King of Avalon: Dominion;14.82;10000000;200000;50;28.85;24.46;0;1;0;0.18;0;0;0;1;0;0;4.4;10.42;2.368181818;0.049;9800;;;
Kingdom Guard;4.78;5000000;1000000;5;10.02;0;1;1;0;0;0;0;0;1;0;0;4.4;0.38;0.086363636;0.049;49000;;;
King's Choice;4.97;5000000;500000;10;6.4;0;0;1;0;0;0;0;0;1;0;0;4.4;0.57;0.129545455;0.049;24500;;;
Kiss of War;8.37;5000000;200000;25;23.59;16.58;0;1;0;0.12;0;0;0;1;0;0;4.4;3.97;0.902272727;0.049;9800;;;
Klondike Adventures;7.03;5000000;1000000;5;17.29;12.46;1;1;0;0.07;0;0;0;0;0;1;3.28;3.75;1.143292683;0.052;52000;;;
Knives Out;16.6;20000000;200000;100;0.84;28.58;0;0;0;0.99;0;0;1;0;0;0;2.53;14.07;5.561264822;0.049;9800;;;
Last Shelter: Survival;13.58;10000000;200000;50;32.42;21.09;0;1;0;0.11;0;0;0;1;0;0;4.4;9.18;2.086363636;0.049;9800;;;
LifeAfter;10.65;10000000;500000;20;5.53;21.08;0;1;0;0.93;0;0;1;0;0;0;2.53;8.12;3.209486166;0.049;24500;;;
Lightning Link Casino Slots;37.49;10000000;200000;50;50.6;0;0;1;0;0;0;0;0;0;1;0;7.28;30.21;4.149725275;0.05;10000;;;
Lily’s Garden;5.03;5000000;2000000;2.5;15.69;5.79;1;1;0;0.04;0;0;0;0;0;1;3.28;1.75;0.533536585;0.052;104000;;;
LINE?????? ????;27.29;10000000;200000;50;3.77;38.12;0;1;0;0.99;0;0;0;0;0;1;3.28;24.01;7.320121951;0.052;10400;;;
Lineage 2: Revolution;62.89;5000000;20000;250;14.91;182.54;1;1;74;0.88;0;0;0;1;0;0;4.4;58.49;13.29318182;0.049;980;;;
Lineage W;104.8;50000000;20000;2500;0;226.04;0;1;0;1;0;0;0;1;0;0;4.4;100.4;22.81818182;0.049;980;;;
Lords Mobile: Tower Defense;5.42;20000000;5000000;4;17.14;19.97;0;1;0;0.28;0;1;0;0;0;0;3.81;1.61;0.422572178;0.06;300000;;;
Lotsa Slots - Casino Games;16.13;10000000;200000;50;25.17;0;1;1;0;0;0;0;0;0;1;0;7.28;8.85;1.215659341;0.05;10000;;;
Mafia City;8.63;10000000;1000000;10;10.76;59.06;0;1;0;0.44;0;1;0;0;0;0;3.81;4.82;1.265091864;0.06;60000;;;
Manor Matters;2.16;5000000;500000;10;4.87;7.57;0;1;0;0.29;0;0;0;0;0;1;3.28;-1.12;-0.341463415;0.052;26000;;;
MapleStory M - Fantasy MMORPG;21.08;5000000;100000;50;25.76;23.06;0;1;0;0.53;0;0;0;1;0;0;4.4;16.68;3.790909091;0.049;4900;;;
Marvel Contest of Champions;6.55;10000000;1000000;10;16.61;3.09;0;1;76;0.095;0;0;1;0;0;0;2.53;4.02;1.588932806;0.049;49000;;;
MARVEL Strike Force: Squad RPG;12.08;10000000;500000;20;24.4;12.54;0;1;0;0.03;0;0;0;1;0;0;4.4;7.68;1.745454545;0.049;24500;;;
Match Masters;3.48;5000000;1000000;5;8.49;0;1;1;0;0;0;0;0;0;0;1;3.28;0.2;0.06097561;0.052;52000;;;
Matchington Mansion;3.41;5000000;1000000;5;8.36;7.41;1;1;0;0.13;0;0;0;0;0;1;3.28;0.13;0.039634146;0.052;52000;;;
Merge County;3.74;5000000;500000;10;5.69;5.34;1;1;0;0.13;0;0;0;0;0;1;3.28;0.46;0.140243902;0.052;26000;;;
Merge Dragons!;9.14;10000000;200000;50;15.68;7.25;1;1;0;0.04;0;0;0;0;0;1;3.28;5.86;1.786585366;0.052;10400;;;
Merge Mansion;3.46;5000000;1000000;5;6.32;6.45;0;1;0;0.08;0;0;0;0;0;1;3.28;0.18;0.054878049;0.052;52000;;;
MIR4;12.5;5000000;100000;50;82.3;39.88;1;1;0;0.39;0;0;0;1;0;0;4.4;8.1;1.840909091;0.049;4900;;;
Mobile Legends: Adventure;4.46;2000000;200000;10;16.56;29.49;0;1;0;0.43;0;0;0;1;0;0;4.4;0.06;0.013636364;0.049;9800;;;
Mobile Legends: Bang Bang;1.86;20000000;5000000;4;7.84;10.33;1;1;0;0.4;0;0;0;1;0;0;4.4;-2.54;-0.577272727;0.049;245000;;;
Phase 10: World Tour;6.83;5000000;500000;10;7.72;0;1;1;0;0;1;0;0;0;0;0;2.29;4.54;1.982532751;0.04;20000;;;
Pokémon GO;7.34;20000000;2000000;10;10.86;28.83;0;1;69;0.39;0;0;0;0;0;1;3.28;4.06;1.237804878;0.052;104000;;;
POP! Slots™ Vegas Casino Games;13.3;5000000;100000;50;23.84;0;0;1;0;0;0;0;0;0;1;0;7.28;6.02;0.826923077;0.05;5000;;;
Project Makeover;2.53;10000000;2000000;5;5.3;4.41;0;1;0;0.07;0;0;0;0;0;1;3.28;-0.75;-0.228658537;0.052;104000;;;
PUBG Mobile;6;100000000;5000000;20;9.8;20.36;1;1;82;0.7;0;0;1;0;0;0;2.53;3.47;1.371541502;0.049;245000;;;
Puzzles & Survival;17.06;20000000;500000;40;17.8;49.73;0;1;0;0.53;0;0;0;0;0;1;3.28;13.78;4.201219512;0.052;26000;;;
QQ??;35.59;5000000;100000;50;0;35.59;0;1;0;1;0;0;0;0;0;1;3.28;32.31;9.850609756;0.052;5200;;;
Quick Hit Casino Slot Games;15.33;5000000;200000;25;18.65;0;0;1;0;0;0;0;0;0;1;0;7.28;8.05;1.105769231;0.05;10000;;;
RAID: Shadow Legends;11.69;20000000;1000000;20;21.49;15.87;0;1;0;0.08;0;0;0;1;0;0;4.4;7.29;1.656818182;0.049;49000;;;
Redecor - Home Design Game;4.15;5000000;1000000;5;6.6;0;0;1;0;0;0;0;0;0;0;1;3.28;0.87;0.265243902;0.052;52000;;;
Rise of Empires: Ice and Fire;9.87;10000000;500000;20;27.04;26.59;1;1;0;0;0;0;0;0;0;1;3.28;6.59;2.009146341;0.052;26000;;;
Rise of Kingdoms: Lost Crusade;19.17;20000000;1000000;20;27.9;71.96;0;1;0;0.32;0;1;0;0;0;0;3.81;15.36;4.031496063;0.06;60000;;;
Roblox;4.14;50000000;10000000;5;9.7;5.46;0;1;0;0.19;0;0;0;0;0;1;3.28;0.86;0.262195122;0.052;520000;;;
Royal Match;6.66;20000000;2000000;10;12.68;7.83;0;1;0;0.16;0;0;0;0;0;1;3.28;3.38;1.030487805;0.052;104000;;;
Rush Royale: Tower Defense TD;1.9;5000000;1000000;5;4.6;0;1;1;0;0;0;1;0;0;0;0;3.81;-1.91;-0.501312336;0.06;60000;;;
Sky: Children of the Light;3.29;5000000;50000;100;2.63;11.46;0;1;82;0.69;0;0;1;0;0;0;2.53;0.76;0.300395257;0.049;2450;;;
SLIME - ISEKAI Memories;30.88;2000000;50000;40;15.08;38.28;0;1;0;0.82;0;0;0;1;0;0;4.4;26.48;6.018181818;0.049;2450;;;
Slotomania™ Casino Slots Games;25.63;20000000;500000;40;42.34;0;1;1;0;0;0;0;0;0;1;0;7.28;18.35;2.520604396;0.05;25000;;;
Slots: Heart of Vegas Casino;30.16;10000000;100000;100;36.46;0;1;1;0;0;0;0;0;0;1;0;7.28;22.88;3.142857143;0.05;5000;;;
Solitaire Grand Harvest;9.03;10000000;500000;20;19.46;0;1;1;0;0;0;0;0;0;0;1;3.28;5.75;1.75304878;0.052;26000;;;
Speed Drifters;16.09;5000000;500000;10;0;16.09;0;1;0;0.99;1;0;0;0;0;0;2.29;13.8;6.026200873;0.04;20000;;;
Star Trek™ Fleet Command;35.63;10000000;100000;100;54.17;0;0;1;82;0;0;1;0;0;0;0;3.81;31.82;8.351706037;0.06;6000;;;
Star Wars™: Galaxy of Heroes;10.01;10000000;200000;50;18.45;6.64;0;1;70;0.065;0;0;0;1;0;0;4.4;5.61;1.275;0.049;9800;;;
State of Survival: Zombie War;10.19;20000000;2000000;10;18.75;10.19;0;1;0;0.265;0;1;0;0;0;0;3.81;6.38;1.674540682;0.06;120000;;;
Summoners War;23.25;10000000;200000;50;32.15;36.27;1;1;0;0.36;0;0;0;1;0;0;4.4;18.85;4.284090909;0.049;9800;;;
The Ants: Underground Kingdom;3.47;5000000;1000000;5;6.7;12.23;0;1;0;0.41;0;1;0;0;0;0;3.81;-0.34;-0.089238845;0.06;60000;;;
The Grand Mafia;5.73;5000000;1000000;5;10.88;0;0;1;0;0;0;1;0;0;0;0;3.81;1.92;0.503937008;0.06;60000;;;
The Lord of the Rings: War;5.94;5000000;500000;10;13.25;1.81;0;1;0;0.13;0;1;0;0;0;0;3.81;2.13;0.559055118;0.06;30000;;;
The Seven Deadly Sins;19.9;5000000;200000;25;24.48;46.97;1;1;0;0.53;0;0;0;1;0;0;4.4;15.5;3.522727273;0.049;9800;;;
The Walking Dead: Survivors;5.72;5000000;200000;25;12.72;20.97;1;1;0;0.25;0;1;0;0;0;0;3.81;1.91;0.501312336;0.06;12000;;;
Tiki Solitaire TriPeaks;11.1;5000000;200000;25;13.21;0;1;1;0;0;0;0;0;0;0;1;3.28;7.82;2.384146341;0.052;10400;;;
Toca Life World: Build stories;1.58;10000000;5000000;2;4.73;0.6;0;1;0;0.145;0;0;0;0;0;1;3.28;-1.7;-0.518292683;0.052;260000;;;
Toon Blast;9.19;20000000;1000000;20;13.08;13.55;0;1;0;0.21;0;0;0;0;0;1;3.28;5.91;1.801829268;0.052;52000;;;
Top Eleven Be a Soccer Manager;2.54;2000000;1000000;2;6.84;0;1;1;63;0;1;0;0;0;0;0;2.29;0.25;0.109170306;0.04;40000;;;
Top War: Battle Game;7.35;20000000;1000000;20;13.66;13.29;1;1;0;0.4;0;1;0;0;0;0;3.81;3.54;0.929133858;0.06;60000;;;
Township;2.96;20000000;2000000;10;10.36;4.64;1;1;0;0.07;0;0;0;0;0;1;3.28;-0.32;-0.097560976;0.052;104000;;;
Toy Blast;6.38;10000000;200000;50;11.61;8.22;0;1;0;0.07;0;0;0;0;0;1;3.28;3.1;0.945121951;0.052;10400;;;
War and Order;12.81;10000000;500000;20;30.86;13.39;0;1;0;0.185;0;1;0;0;0;0;3.81;9;2.362204724;0.06;30000;;;
War Robots Multiplayer Battles;3.27;5000000;1000000;5;7.17;5.71;1;1;0;0.1;0;0;1;0;0;0;2.53;0.74;0.292490119;0.049;49000;;;
Warpath;6.8;5000000;500000;10;13.9;26.33;0;1;0;0.235;0;1;0;0;0;0;3.81;2.99;0.784776903;0.06;30000;;;
West Game;7.96;5000000;100000;50;15.62;0;1;1;0;0;0;1;0;0;0;0;3.81;4.15;1.089238845;0.06;6000;;;
Wizard of Oz Slots Games;24.99;5000000;50000;100;28.59;0;1;1;0;0;0;0;0;0;1;0;7.28;17.71;2.432692308;0.05;2500;;;
Wordscapes;1.58;2000000;2000000;1;2.19;0;1;1;0;0;0;0;0;0;0;1;3.28;-1.7;-0.518292683;0.052;104000;;;
World Series of Poker - WSOP;7.94;10000000;500000;20;14.19;0;1;1;0;0;0;0;0;0;0;1;3.28;4.66;1.420731707;0.052;26000;;;
Yahtzee® with Buddies Dice;7.29;5000000;200000;25;8.34;0;1;1;0;0;0;0;0;0;0;1;3.28;4.01;1.222560976;0.052;10400;;;
Yalla Ludo - Ludo&Domino;1.51;5000000;2000000;2.5;16.85;0;0;1;0;0;0;0;0;0;0;1;3.28;-1.77;-0.539634146;0.052;104000;;;
Yu-Gi-Oh! Master Duel;9.87;10000000;50000;200;3.14;25.38;1;1;0;0.84;0;0;1;0;0;0;2.53;7.34;2.901185771;0.049;2450;;;
Zen Match;1.2;5000000;2000000;2.5;2.07;1.22;1;1;0;0.075;0;0;0;0;0;1;3.28;-2.08;-0.634146341;0.052;104000;;;
Zynga Poker- Texas Holdem Game;7.18;5000000;200000;25;12.78;0;1;1;0;0;0;0;0;0;0;1;3.28;3.9;1.18902439;0.052;10400;;;
????????????Music;130.97;20000000;50000;400;0;130.97;1;1;0;1;0;0;0;0;0;1;3.28;127.69;38.92987805;0.052;2600;;;
????? ? ?????RPG;23.87;5000000;50000;100;0;23.87;1;1;0;1;0;0;0;1;0;0;4.4;19.47;4.425;0.049;2450;;;
???????;7.06;5000000;500000;10;3.86;11.93;1;1;0;1;0;1;0;0;0;0;3.81;3.25;0.853018373;0.06;30000;;;
?????????(Puzzle & Dragons);118.7;20000000;100000;200;10.52;155.22;1;1;0;1;0;0;0;0;0;1;3.28;115.42;35.18902439;0.052;5200;;;
????????? ????????? feat. ????;22.89;20000000;500000;40;2.49;26.19;0;1;0;1;0;0;0;0;0;1;3.28;19.61;5.978658537;0.052;26000;;;
?????????A;119.76;20000000;100000;200;0;119.76;1;1;0;1;1;0;0;0;0;0;2.29;117.47;51.29694323;0.04;4000;;;
??????????;72.78;20000000;20000;1000;0;72.78;0;1;0;1;0;0;0;1;0;0;4.4;68.38;15.54090909;0.049;980;;;
??????????;159.44;50000000;200000;250;0;165.89;1;1;0;1;0;0;0;1;0;0;4.4;155.04;35.23636364;0.049;9800;;;
?????2M?Lineage2M?;264.98;10000000;50000;200;11.95;385.29;0;1;0;1;0;0;0;1;0;0;4.4;260.58;59.22272727;0.049;2450;;;
?????? ?? ???????;176.31;10000000;10000;1000;0;231.51;1;1;0;1;0;0;0;1;0;0;4.4;171.91;39.07045455;0.049;490;;;
??? ?;46.27;5000000;50000;100;0;67.41;0;1;0;1;0;0;0;1;0;0;4.4;41.87;9.515909091;0.049;2450;;;
?????? ???;36.26;20000000;500000;40;36.26;0;1;1;0;1;0;0;1;0;0;0;2.53;33.73;13.33201581;0.049;24500;;;
???M;325.09;20000000;20000;1000;0;325.09;1;1;0;1;0;0;0;1;0;0;4.4;320.69;72.88409091;0.049;980;;;
????3;54.62;5000000;10000;500;0;54.62;0;1;0;1;0;0;0;1;0;0;4.4;50.22;11.41363636;0.049;490;;;
??: ??? ???;224.39;10000000;10000;1000;0;224.39;1;1;0;1;0;0;0;1;0;0;4.4;219.99;49.99772727;0.049;490;;;
?2? ??: Cross Worlds;63.93;5000000;20000;250;0;62.65;0;1;0;1;0;0;0;1;0;0;4.4;59.53;13.52954545;0.049;980;;;
?? ?? Z;17.98;5000000;100000;50;0;17.04;1;1;0;1;0;0;0;0;0;1;3.28;14.7;4.481707317;0.052;5200;;;
??? ?;51.12;5000000;20000;250;0;51.12;1;1;0;1;0;1;0;0;0;0;3.81;47.31;12.41732283;0.06;1200;;;
???? ???;34.6;5000000;100000;50;0;34.6;1;1;0;1;0;0;0;1;0;0;4.4;30.2;6.863636364;0.049;4900;;;
????;69.7;10000000;100000;100;0;69.69;1;1;0;1;0;0;0;1;0;0;4.4;65.3;14.84090909;0.049;4900;;;
??? ??;69.12;10000000;50000;200;0;69.12;0;1;0;1;0;1;0;0;0;0;3.81;65.31;17.14173228;0.06;3000;;;
????????????;129.19;20000000;100000;200;0;129.46;0;1;0;1;0;1;0;0;0;0;3.81;125.38;32.90813648;0.06;6000;;;
????? - ??????????;22.08;5000000;100000;50;34.62;35.36;0;1;0;1;0;1;0;0;0;0;3.81;18.27;4.795275591;0.06;6000;;;
?????????;27.84;5000000;100000;50;0;27.84;0;1;0;1;0;0;0;1;0;0;4.4;23.44;5.327272727;0.049;4900;;;
????;140.63;5000000;50000;100;0;140.19;0;1;0;1;0;0;0;1;0;0;4.4;136.23;30.96136364;0.049;2450;;;
?????;73.38;5000000;50000;100;0;73.38;0;1;0;1;0;0;0;1;0;0;4.4;68.98;15.67727273;0.049;2450;;;
?? : ??;28.12;5000000;200000;25;0;22.41;1;1;0;1;0;0;0;1;0;0;4.4;23.72;5.390909091;0.049;9800;;;
??3;14.94;5000000;500000;10;10.88;33.38;0;1;0;1;0;0;1;0;0;0;2.53;12.41;4.90513834;0.049;24500;;;
?????®;4.45;5000000;1000000;5;0;4.46;1;0;0;1;0;0;0;0;0;1;3.28;1.17;0.356707317;0.052;52000;;;
?????-?????????????????;42;10000000;10000;1000;0;42;0;1;0;1;0;0;0;0;1;0;7.28;34.72;4.769230769;0.05;500;;;
???? - ?????????;86.99;10000000;100000;100;0;87.34;1;1;0;1;0;0;0;1;0;0;4.4;82.59;18.77045455;0.049;4900;;;
?????;28.64;5000000;50000;100;0;28.64;0;1;0;1;0;1;0;0;0;0;3.81;24.83;6.517060367;0.06;3000;;;
